,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8018667675329298,0.7774359655248967,0.4764509270357092,0.7443396226415094,0.7320754716981132,0.7382075471698113,0.7382075471698113,0.7353215284249767,0.5294117647058824
1,0.794685386258455,0.7684517320002724,0.4774273307262662,0.730188679245283,0.7471698113207547,0.7386792452830189,0.7386792452830189,0.7428023032629558,0.5294117647058824
2,0.7874092203631186,0.7572350348690934,0.4553528766473966,0.7009433962264151,0.7537735849056604,0.7273584905660377,0.7273584905660377,0.7400398406374502,0.5294117647058824
3,0.7948976504093983,0.7651504014169032,0.43837365899280223,0.6462264150943396,0.7877358490566038,0.7169811320754716,0.7169811320754718,0.7527472527472527,0.5882352941176471
4,0.786622908508366,0.7665719473263827,0.4539435021132244,0.7132075471698113,0.7405660377358491,0.7268867924528302,0.7268867924528302,0.7332686711930165,0.5294117647058824
5,0.7818414026343895,0.7551664248572982,0.4369139859494487,0.7066037735849057,0.730188679245283,0.7183962264150944,0.7183962264150943,0.7236714975845411,0.5294117647058824
6,0.7721471164115344,0.7518084702574097,0.4120486444128719,0.6386792452830189,0.769811320754717,0.7042452830188679,0.7042452830188679,0.7350705754614549,0.5882352941176471
7,0.7896048415806337,0.7674934081166934,0.45711259249691316,0.7047169811320755,0.7518867924528302,0.7283018867924528,0.7283018867924529,0.7396039603960396,0.5294117647058824
8,0.7911400854396582,0.7734872266121536,0.4536067810411356,0.6971698113207547,0.7556603773584906,0.7264150943396226,0.7264150943396226,0.7404809619238477,0.5294117647058824
9,0.7925283620498251,0.7713848032573197,0.45326284245306553,0.724268177525968,0.728989612842304,0.726628895184136,0.726628895184136,0.7277039848197343,0.5294117647058824
mean,0.7892743741188308,0.7654185414238422,0.4514493141868833,0.700634364922408,0.7497857537370607,0.7252100593297343,0.7252100593297343,0.7370710576451269,0.5411764705882354
std,0.007699014713054388,0.007857071431803685,0.018155093872628453,0.03219209707105228,0.017658104783547072,0.009614940776029632,0.009614940776029634,0.007708814257244242,0.02352941176470589
