,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8050191349234603,0.7815739452603171,0.4764530929270796,0.7056603773584905,0.769811320754717,0.7377358490566037,0.7377358490566037,0.7540322580645161,0.5652173913043478
1,0.7931906372374511,0.7697141295980755,0.47620982980236365,0.6952830188679245,0.779245283018868,0.7372641509433963,0.7372641509433963,0.7590113285272915,0.5652173913043478
2,0.7832320220719117,0.7539520534943001,0.43696847416528184,0.6273584905660378,0.8028301886792453,0.7150943396226415,0.7150943396226415,0.7608695652173914,0.6086956521739131
3,0.7916945532217871,0.76203281811268,0.4623576059106929,0.6839622641509434,0.7764150943396226,0.730188679245283,0.730188679245283,0.7536382536382537,0.5652173913043478
4,0.7851944642221431,0.7677040297478601,0.43770432613352145,0.629245283018868,0.8018867924528302,0.715566037735849,0.715566037735849,0.7605473204104903,0.6086956521739131
5,0.7807934318262726,0.7609007996942942,0.44479504120751234,0.6820754716981132,0.7613207547169811,0.7216981132075472,0.7216981132075472,0.7407786885245902,0.5652173913043478
6,0.7739262192951227,0.7569547442071354,0.42281296195455004,0.6188679245283019,0.7971698113207547,0.7080188679245283,0.7080188679245283,0.7531572904707233,0.6086956521739131
7,0.7954040583837665,0.7776367471767944,0.46765208227215627,0.6915094339622642,0.7745283018867924,0.7330188679245283,0.7330188679245283,0.7541152263374485,0.5652173913043478
8,0.791432449270203,0.7747889567983233,0.45014605273999153,0.7122641509433962,0.7377358490566037,0.725,0.725,0.7308809293320426,0.5217391304347826
9,0.7868162724112133,0.761437836054941,0.4617596678771364,0.732766761095373,0.728989612842304,0.7308781869688386,0.7308781869688386,0.7300094073377235,0.5217391304347826
mean,0.7886703242863331,0.7666696060144721,0.45368591349902865,0.6778993176189714,0.772993300906872,0.7254463092629215,0.7254463092629215,0.7497040267860471,0.5695652173913042
std,0.008211964550192734,0.008700261803224339,0.017148498966243993,0.03729608308218657,0.023850608727211262,0.009606144396078854,0.009606144396078854,0.011028672927109955,0.030434782608695674
