,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.7607155571377715,0.709643623254727,0.3812491294760373,0.45754716981132076,0.8867924528301887,0.6721698113207547,0.6721698113207547,0.8016528925619835,0.6666666666666666
1,0.7639707191171236,0.7070267234851427,0.35533925697777746,0.42641509433962266,0.8886792452830189,0.6575471698113208,0.6575471698113208,0.7929824561403509,0.6666666666666666
2,0.7678889284442862,0.7117131510642347,0.36139613978863916,0.4330188679245283,0.8886792452830189,0.6608490566037736,0.6608490566037736,0.7954939341421143,0.6666666666666666
3,0.7517613029547882,0.695623364078705,0.34520717077640906,0.439622641509434,0.8716981132075472,0.6556603773584906,0.6556603773584906,0.7740863787375415,0.6666666666666666
4,0.7487780348878604,0.698264503035695,0.3581199268189332,0.4349056603773585,0.8849056603773585,0.6599056603773585,0.6599056603773585,0.79073756432247,0.6666666666666666
5,0.7514044143823424,0.7050027269122936,0.3828661348611082,0.45660377358490567,0.8886792452830189,0.6726415094339623,0.6726415094339623,0.8039867109634552,0.6666666666666666
6,0.7420425418298326,0.6929660636410552,0.35351893815412505,0.4339622641509434,0.8820754716981132,0.6580188679245284,0.6580188679245282,0.7863247863247863,0.6666666666666666
7,0.750753381986472,0.6935408825651399,0.33471947105402333,0.4216981132075472,0.8764150943396226,0.6490566037735849,0.6490566037735849,0.773356401384083,0.6666666666666666
8,0.7661512103951584,0.7178571117986237,0.39279286386729045,0.4537735849056604,0.8981132075471698,0.6759433962264151,0.6759433962264151,0.8166383701188455,0.6666666666666666
9,0.7574524222880281,0.7079227931813342,0.3780743163413363,0.4542020774315392,0.886685552407932,0.6704438149197356,0.6704438149197356,0.800332778702163,0.6666666666666666
mean,0.7560918513423662,0.7039560943016951,0.364328334811568,0.44117492472428604,0.885272328825699,0.6632236267749925,0.6632236267749925,0.7935592273397793,0.6666666666666667
std,0.008035969619521539,0.008019371045236121,0.017652867037006612,0.012617402688026224,0.006907109794248394,0.0084647553347524,0.008464755334752407,0.012666839955642085,1.1102230246251565e-16
