,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.79750622997508,0.7721324886199977,0.4625936336302336,0.7122641509433962,0.75,0.7311320754716981,0.7311320754716981,0.7401960784313726,0.5384615384615384
1,0.7936783552865789,0.7616998030972253,0.46230124276716533,0.6981132075471698,0.7632075471698113,0.7306603773584905,0.7306603773584905,0.7467204843592331,0.5384615384615384
2,0.7872543609825562,0.7573548705451155,0.4539986092530572,0.690566037735849,0.7622641509433963,0.7264150943396226,0.7264150943396226,0.7439024390243902,0.5384615384615384
3,0.7934046813812744,0.7618972234010858,0.4643099182596877,0.7660377358490567,0.6971698113207547,0.7316037735849057,0.7316037735849057,0.7166813768755517,0.46153846153846156
4,0.782563189747241,0.7610446452530598,0.4300355585454631,0.5962264150943396,0.8226415094339623,0.7094339622641509,0.709433962264151,0.7707317073170732,0.6153846153846154
5,0.7799902100391598,0.7530204703301911,0.41327607040293707,0.5952830188679246,0.8084905660377358,0.7018867924528301,0.7018867924528303,0.7565947242206235,0.6153846153846154
6,0.7728261836952651,0.7506538795931984,0.41504523640507945,0.5915094339622642,0.8132075471698114,0.7023584905660377,0.7023584905660378,0.76,0.6153846153846154
7,0.7848179957280172,0.7571779651821715,0.41785594458025005,0.5933962264150944,0.8141509433962264,0.7037735849056603,0.7037735849056603,0.761501210653753,0.6153846153846154
8,0.7942230331078676,0.7732843016329447,0.4435432247798502,0.5981132075471698,0.8330188679245283,0.715566037735849,0.715566037735849,0.781750924784217,0.6153846153846154
9,0.7876718375077242,0.7634210910430381,0.4461813688608882,0.6997167138810199,0.7459867799811143,0.722851746931067,0.7228517469310671,0.7336633663366336,0.5384615384615384
mean,0.7873936077450764,0.7611686738698029,0.4409140807484612,0.6541226147843285,0.7810137723377342,0.7175681935610312,0.7175681935610312,0.7511742312002847,0.5692307692307692
std,0.007222332690134355,0.0069305143394888255,0.019400301920842803,0.0622950849526603,0.04148981552480206,0.011816396429903281,0.011816396429903252,0.01794707094496988,0.051024996774698475
