,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8002069241723033,0.7777739153289006,0.4641914317767277,0.7254716981132076,0.7386792452830189,0.7320754716981132,0.7320754716981133,0.7351816443594646,0.5333333333333333
1,0.7927905838376647,0.7663988147827943,0.4681654229716562,0.7179245283018868,0.75,0.7339622641509433,0.7339622641509433,0.7417153996101364,0.5333333333333333
2,0.7868231577073691,0.7557231638848825,0.4611668940584879,0.7009433962264151,0.7594339622641509,0.730188679245283,0.730188679245283,0.7444889779559118,0.5333333333333333
3,0.7932992168031328,0.7629766102266863,0.4628111441935991,0.7707547169811321,0.690566037735849,0.7306603773584905,0.7306603773584905,0.7135371179039302,0.4666666666666667
4,0.7860315058739765,0.7644416515790535,0.46067347203467907,0.7122641509433962,0.7481132075471698,0.730188679245283,0.730188679245283,0.738747553816047,0.5333333333333333
5,0.7809064613741545,0.7524491436070381,0.4230816254513427,0.6311320754716981,0.7867924528301887,0.7089622641509434,0.7089622641509434,0.7474860335195531,0.6
6,0.7723268956924172,0.7542219660139555,0.4037170424872429,0.6160377358490566,0.7820754716981132,0.6990566037735849,0.6990566037735849,0.7386877828054299,0.6
7,0.7862259700961196,0.7581688150276074,0.4430240905724949,0.6283018867924528,0.8075471698113208,0.7179245283018868,0.7179245283018868,0.7655172413793103,0.6
8,0.793310786756853,0.7756228962738314,0.46138450260855174,0.6971698113207547,0.7632075471698113,0.730188679245283,0.730188679245283,0.7464646464646465,0.5333333333333333
9,0.792529699566912,0.7706356285155876,0.45249510572744744,0.7119924457034938,0.7403210576015109,0.7261567516525024,0.7261567516525024,0.7327502429543246,0.5333333333333333
mean,0.7884451201880902,0.7638412605240337,0.4500710731882229,0.6911992445703495,0.7566736151941134,0.7239364298822314,0.7239364298822314,0.7404576640768754,0.5466666666666666
std,0.0074239699769325694,0.008409100464817531,0.019963175014048002,0.047368759238336715,0.03044677658038076,0.011016119399956746,0.011016119399956753,0.012447132628670508,0.039999999999999994
