,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.7908655215379139,0.7558025413012439,0.4328958361708616,0.6339622641509434,0.7933962264150943,0.7136792452830188,0.7136792452830188,0.7542087542087542,0.5714285714285714
1,0.7821199715201139,0.7375917012991201,0.4157884522857649,0.6047169811320755,0.8028301886792453,0.7037735849056603,0.7037735849056603,0.7541176470588236,0.5714285714285714
2,0.7850382698469206,0.7448237866100524,0.4186899493711786,0.6122641509433963,0.7990566037735849,0.7056603773584905,0.7056603773584906,0.7529002320185615,0.5714285714285714
3,0.7874528301886792,0.7414647672958785,0.4241538348968776,0.6235849056603774,0.7943396226415095,0.7089622641509434,0.7089622641509434,0.7519908987485779,0.5714285714285714
4,0.7707106621573514,0.733873690442471,0.4141123777398091,0.6150943396226415,0.7924528301886793,0.7037735849056603,0.7037735849056603,0.7477064220183486,0.5714285714285714
5,0.7681924172303312,0.7338414189462448,0.41145159395721126,0.6122641509433963,0.7924528301886793,0.7023584905660377,0.7023584905660378,0.7468354430379747,0.5714285714285714
6,0.7693609825560698,0.7347418773514216,0.4153108980989242,0.6075471698113207,0.8,0.7037735849056603,0.7037735849056603,0.7523364485981309,0.5714285714285714
7,0.7753875934496262,0.7358172573177129,0.42492457629565855,0.6122641509433963,0.8047169811320755,0.7084905660377359,0.7084905660377359,0.758177570093458,0.5714285714285714
8,0.7917083481666074,0.7617672319713534,0.41980248736378367,0.6056603773584905,0.8056603773584906,0.7056603773584905,0.7056603773584906,0.7570754716981132,0.5714285714285714
9,0.7838398510540973,0.7523751649867276,0.4295557324261078,0.6317280453257791,0.7922568460812087,0.7119924457034938,0.7119924457034938,0.7525309336332958,0.5714285714285714
mean,0.780467644770771,0.7432099437522226,0.42066857386061773,0.6159086535891818,0.7977162506458567,0.7068124521175192,0.7068124521175193,0.7527879821114039,0.5714285714285714
std,0.008445705593827697,0.009620069445922674,0.006662356153395823,0.009878341308078289,0.005104510852654129,0.0036279389167068635,0.0036279389167068426,0.003367338720119189,1.1644117316690923e-16
