,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.7800752046991812,0.7348043679903832,0.4027780386821483,0.5632075471698114,0.8254716981132075,0.6943396226415094,0.6943396226415095,0.7634271099744245,0.6
1,0.7771773762904949,0.7281569072514367,0.3994232403964525,0.5452830188679245,0.8367924528301887,0.6910377358490566,0.6910377358490566,0.7696404793608522,0.6
2,0.78062967248131,0.7360260286002843,0.3934447376823168,0.5471698113207547,0.8301886792452831,0.6886792452830188,0.6886792452830188,0.7631578947368421,0.6
3,0.7756634923460306,0.7270097807939118,0.39429559785001067,0.5575471698113208,0.8226415094339623,0.6900943396226416,0.6900943396226416,0.7586649550706034,0.6
4,0.7624652901388395,0.718057616118281,0.4006235233410204,0.5537735849056604,0.8311320754716981,0.6924528301886792,0.6924528301886792,0.7663185378590078,0.6
5,0.764688501245995,0.7228804349780635,0.39538055682214607,0.5575471698113208,0.8235849056603773,0.690566037735849,0.6905660377358491,0.7596401028277635,0.6
6,0.7546698113207547,0.7102651482694705,0.3766142229190561,0.539622641509434,0.8216981132075472,0.6806603773584906,0.6806603773584905,0.7516425755584757,0.6
7,0.7644490922036311,0.7194750268309249,0.3855686421168494,0.5481132075471699,0.8226415094339623,0.685377358490566,0.685377358490566,0.7555266579973993,0.6
8,0.7861329654681382,0.7417858899220326,0.419757608131938,0.5566037735849056,0.8452830188679246,0.7009433962264151,0.7009433962264151,0.7824933687002652,0.6
9,0.7822366139060759,0.7450590989266704,0.41312116501685847,0.5769593956562795,0.8234183191690274,0.7001888574126535,0.7001888574126535,0.7656641604010025,0.6
mean,0.772818802010045,0.728352029968146,0.39810073329587964,0.5545827320184582,0.828285228143318,0.691433980080888,0.691433980080888,0.7636175842486638,0.5999999999999999
std,0.009896724426466108,0.010506222706820043,0.01177669064518841,0.010022538280044697,0.007306260450838164,0.005827558676094555,0.00582755867609458,0.008084024606637359,1.1102230246251565e-16
