,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.7985755606977573,0.7714599218392002,0.4611166570712572,0.7018867924528301,0.7584905660377359,0.730188679245283,0.730188679245283,0.744,0.5454545454545454
1,0.789757030971876,0.7569292142237747,0.45181820957370544,0.680188679245283,0.769811320754717,0.725,0.7250000000000001,0.7471502590673575,0.5454545454545454
2,0.7861974902100392,0.7551821847147412,0.42691807182220154,0.659433962264151,0.7650943396226415,0.7122641509433962,0.7122641509433962,0.7373417721518988,0.5454545454545454
3,0.7930420078319685,0.7603281306782315,0.4675079794819385,0.6933962264150944,0.7726415094339623,0.7330188679245283,0.7330188679245283,0.7530737704918032,0.5454545454545454
4,0.7780602527589888,0.7533572523646169,0.4082482904638631,0.5584905660377358,0.8339622641509434,0.6962264150943396,0.6962264150943396,0.7708333333333334,0.6363636363636364
5,0.7790459238163048,0.7488611372400746,0.42580429172869605,0.6735849056603773,0.7509433962264151,0.7122641509433962,0.7122641509433962,0.7300613496932515,0.5454545454545454
6,0.7701553043787825,0.7440656266078398,0.4069799091290129,0.5547169811320755,0.8358490566037736,0.6952830188679245,0.6952830188679245,0.7716535433070866,0.6363636363636364
7,0.783309896760413,0.7487958724002385,0.43287404984315175,0.6707547169811321,0.7603773584905661,0.715566037735849,0.715566037735849,0.7367875647668394,0.5454545454545454
8,0.7928742435030259,0.7673959029950873,0.4165667445914536,0.5518867924528302,0.8462264150943396,0.6990566037735849,0.6990566037735849,0.7820855614973262,0.6363636363636364
9,0.7839579983967628,0.7566415399095452,0.44298006463865974,0.6864966949952785,0.7554296506137866,0.7209631728045326,0.7209631728045326,0.7373225152129818,0.5454545454545454
mean,0.7854975709325919,0.756301678297335,0.434081426834394,0.6430836317636788,0.7848825877028881,0.7139831097332834,0.7139831097332834,0.7510309669521877,0.5727272727272726
std,0.008002995229739785,0.00800573818733266,0.020178966730496083,0.05873288063964914,0.03585304992015446,0.0130049344769343,0.01300493447693431,0.016936335806801803,0.0416597790450531
