,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.7934838910644357,0.7630000875590561,0.46116533279188143,0.6754716981132075,0.7830188679245284,0.7292452830188679,0.7292452830188679,0.7568710359408034,0.5555555555555556
1,0.7861836952652189,0.7494641658012209,0.43021681187721833,0.6386792452830189,0.7867924528301887,0.7127358490566038,0.7127358490566038,0.7497231450719822,0.5555555555555556
2,0.7849199003203986,0.7478888785486553,0.4265962502402016,0.6433962264150943,0.779245283018868,0.7113207547169811,0.7113207547169811,0.7445414847161572,0.5555555555555556
3,0.7896235315058739,0.7513620687098421,0.453302381842559,0.6745283018867925,0.7764150943396226,0.7254716981132076,0.7254716981132076,0.7510504201680672,0.5555555555555556
4,0.7763661445354219,0.749726859573238,0.4406642544545654,0.6613207547169812,0.7764150943396226,0.7188679245283018,0.7188679245283018,0.7473347547974414,0.5555555555555556
5,0.7781212175151299,0.7477990399277982,0.4272744603727009,0.6462264150943396,0.7773584905660378,0.7117924528301887,0.7117924528301887,0.743756786102063,0.5555555555555556
6,0.7743449626201495,0.7447751128913885,0.384579596791729,0.5018867924528302,0.8575471698113207,0.6797169811320755,0.6797169811320755,0.7789165446559297,0.6666666666666666
7,0.7766438234247063,0.7398564623680084,0.413547613760664,0.6433962264150943,0.7669811320754717,0.7051886792452831,0.7051886792452831,0.7341227125941873,0.5555555555555556
8,0.7924243503025987,0.7652226659806314,0.4279214135672846,0.6330188679245283,0.789622641509434,0.7113207547169811,0.7113207547169811,0.7505592841163311,0.5555555555555556
9,0.79007089732238,0.7616814826318259,0.43932857106240053,0.6694995278564684,0.7677053824362606,0.7186024551463644,0.7186024551463646,0.7424083769633508,0.5555555555555556
mean,0.7842182413876314,0.7520776823991666,0.43045966867612045,0.6387424056158355,0.7861101608851355,0.7124262832504855,0.7124262832504855,0.7499284545126313,0.5666666666666667
std,0.006889855808281976,0.007973268126830732,0.020174216772878544,0.04790302906604426,0.024782993975733508,0.012876042712204834,0.01287604271220484,0.011271277516947474,0.03333333333333332
