,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8055469028123888,0.7816468510297911,0.48171205678560797,0.7160377358490566,0.7650943396226415,0.7405660377358491,0.7405660377358491,0.7529761904761905,0.56
1,0.7940739587041652,0.7722397931166046,0.4818902651479187,0.6981132075471698,0.7820754716981132,0.7400943396226415,0.7400943396226415,0.7621009268795057,0.56
2,0.7809166963332147,0.7529884658043158,0.4402337392805151,0.6773584905660377,0.7613207547169811,0.7193396226415094,0.7193396226415094,0.7394438722966015,0.56
3,0.790809896760413,0.7617863574177803,0.46038473388357865,0.7273584905660377,0.7330188679245283,0.730188679245283,0.730188679245283,0.7314990512333965,0.52
4,0.7847686009255963,0.7676013349233801,0.4401406447987116,0.6405660377358491,0.7943396226415095,0.7174528301886792,0.7174528301886793,0.7569676700111483,0.6
5,0.7800596297614809,0.7599405049047145,0.45119199701826107,0.6886792452830188,0.7613207547169811,0.725,0.725,0.7426246185147508,0.56
6,0.77437344250623,0.7596654177230521,0.4230816254513427,0.6311320754716981,0.7867924528301887,0.7089622641509434,0.7089622641509434,0.7474860335195531,0.6
7,0.7949510501957994,0.7781776696032308,0.46492397447618683,0.6886792452830188,0.7745283018867924,0.7316037735849057,0.7316037735849057,0.7533539731682146,0.56
8,0.7923629405482377,0.7758016071467845,0.45821012925741,0.7556603773584906,0.7018867924528301,0.7287735849056604,0.7287735849056604,0.7170993733213966,0.48
9,0.7858430058110659,0.7613065368638008,0.45105601517062927,0.6987724268177526,0.7516525023607177,0.7252124645892352,0.7252124645892352,0.7377866400797607,0.56
mean,0.7883706124358592,0.7671154538533455,0.45528251812701626,0.6922357332478131,0.7612029860851284,0.7267193596664707,0.7267193596664707,0.7441338349500518,0.556
std,0.008559564294566481,0.008967585076482302,0.017496540115913513,0.035426185157333874,0.026048454160631087,0.009335976435752362,0.00933597643575235,0.01271620773586836,0.0332264954516723
